id,kode_provinsi,nama_provinsi,kode_kabupaten,nama_kabupaten,nama_perangkat_daerah,kode_kecamatan_kemendagri,kode_kecamatan_bps,nama_kecamatan,luas_panen,produktivitas,produksi,satuan,tahun
1,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.03,3214010,JATILUHUR,1064.0,5.74,6106,HEKTARE,2022
2,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.15,3214011,SUKASARI,1344.0,5.80,7795,HEKTARE,2022
3,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.07,3214020,MANIIS,1146.0,6.66,7632,HEKTARE,2022
4,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.08,3214030,"TEGAL WARU",2883.0,6.40,18451,HEKTARE,2022
5,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.04,3214040,PLERED,3381.0,7.00,23668,HEKTARE,2022
6,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.05,3214050,SUKATANI,2589.0,6.40,16574,HEKTARE,2022
7,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.06,3214060,DARANGDAN,4735.0,6.40,30304,HEKTARE,2022
8,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.11,3214070,BOJONG,2404.0,5.80,13943,HEKTARE,2022
9,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.09,3214080,WANAYASA,3207.0,5.70,18280,HEKTARE,2022
10,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.17,3214081,KIARAPEDES,2425.0,6.20,15035,HEKTARE,2022
11,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.10,3214090,PASAWAHAN,2893.0,6.45,18652,HEKTARE,2022
12,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.16,3214091,"PONDOK SALAM",3689.0,6.30,23249,HEKTARE,2022
13,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.01,3214100,PURWAKARTA,1070.0,6.30,6741,HEKTARE,2022
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.12,3214101,BABAKANCIKAO,1285.0,6.50,8353,HEKTARE,2022
15,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.02,3214110,CAMPAKA,1619.0,6.35,10280,HEKTARE,2022
16,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.14,3214111,CIBATU,3004.0,6.45,19376,HEKTARE,2022
17,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.13,3214112,BUNGURSARI,1690.0,6.10,10309,HEKTARE,2022
